iter	MultiClass
0	1.043987573
1	0.9956556963
2	0.9417359391
3	0.9014440822
4	0.8684165775
5	0.8382749909
6	0.8107293066
7	0.792317530488	0.7735635784
9	0.7591640729
10	0.7466699611	11	0.727385012	012	0.718985413	013	0.709046714	0.6945098229
15	0.6875483932
16	0.6732990272
17	0.6670194189
18	0.6528264556
19	0.6455241515
20	020	0.6330728843
21	0.6248203108
22	0.619775324
23	0.6128806389
24	0.6050179166
25	0.5979782697
26	0.5942357361
27	0.5863021539
28	0.5792409808
29	0.5751113284
30	0.5665230331	0.5787201849332	0.5708593828333	0.5669025954334	0.5572159686335	35	0.5340989336	36	0.5254108337	37	0.5186838323
38	0.5138972873
39	0.5077696465
40	0.4991604279
41	0.492617421
42	0.4858442826
43	0.4785164768
44	0.4719811121
45	0.4687086168
46	0.4615505902
47	0.4535246587
48	0.4486656476
49	0.4442795467
50	0.4380428902
51	0.435019282
52	0.4299397517
53	0.4266771127
54	0.422465328
55	0.4180583535
56	0.4144198069
57	0.4103218873
58	0.4074666028
59	0.401713166
60	0.3994799655
61	0.3969829315
62	0.3903806399
63	0.3883229047
64	0.3829733603
65	0.3775518958
66	0.3732445162
67	0.3707700402
68	0.3677795421
69	0.3639016402
70	0.3620104663
71	0.3592281874
72	0.3572417477
73	0.3555491907
74	0.351028626
75	0.3468095455
76	0.3419110378
77	0.3367932895
78	0.3332250979
79	0.3297532163
80	0.32752217
81	0.325538232
82	0.3235168555
83	0.3201467446
84	0.3174361979
85	0.3142710855
86	0.3120985038
87	0.3096194793
88	0.3066158256
89	0.3049757009
90	0.3014557819
91	0.2995169653
92	0.2961279826
93	0.2936001707
94	0.2904912494
95	0.2884234283
96	0.2848876697
97	0.2836619657
98	0.2815797892
99	0.2777628468
100	0.2759695719
101	0.2732266878
102	0.2703316577
103	0.2675811492
104	0.2653380909
105	0.2617596552
106	0.2595091236
107	0.2561837842
108	0.2548805054
109	0.252323683
110	0.2491508042
111	0.2468990543
112	0.2452741867
113	0.242897859
114	0.2408839543
115	0.238114048
116	0.2368801987
117	0.2339030049
118	0.2315546242
119	0.2296907567
120	0.2277837704
121	0.2263596582
122	0.2243328056
123	0.2221385088
124	0.2202437539
125	0.2185444664
126	0.2160778512
127	0.2148951692
128	0.2131146952
129	0.212295454
130	0.2113357668
131	0.2101730297
132	0.2092223245
133	0.2082949545
134	0.2071122022
135	0.2056816971
136	0.204089801
137	0.2021230825
138	0.2004105235
139	0.1992453486
140	0.1981140695
141	0.1967007015
142	0.1955752901
143	0.194497492
144	0.1932123686
145	0.1919841222
146	0.1906915278
147	0.1892203494
148	0.1881836531
149	0.1867872061
150	0.1855435421
151	0.1841192683
152	0.1833592989
153	0.1822841581
154	0.1814767904
155	0.1805869361
156	0.1794938699
157	0.1786966906
158	0.177559482
159	0.1764760131
160	0.1758442048
161	0.174565092
162	0.1734149662
163	0.1722417035
164	0.1715779852
165	0.1705287842
166	0.1692221349
167	0.167540271
168	0.1665635802
169	0.1654674583
170	0.1643621526
171	0.1630990569
172	0.1623136018
173	0.1613277686
174	0.1608718766
175	0.16011089
176	0.1589386923
177	0.1571007856
178	0.1556924891
179	0.1542019551
180	0.1531233823
181	0.1518933648
182	0.1508059077
183	0.1495643064
184	0.1489292919
185	0.148193947
186	0.147010511
187	0.1461661411
188	0.1457269439
189	0.1450118434
190	0.1441569638
191	0.1430768169
192	0.1422784439
193	0.1416427262
194	0.1404336979
195	0.1397860394
196	0.1391267999
197	0.1387203765
198	0.1381761003
199	0.137616534
200	0.1369324417
201	0.1357599762
202	0.1348981996
203	0.1341955324
204	0.133866107
205	0.1331758944
206	0.1322583004
207	0.1316026513
208	0.1310180505
209	0.1306649115
210	0.1299844555
211	0.1291614698
212	0.1286389702
213	0.1277092116
214	0.1270196463
215	0.1262333772
216	0.1256769195
217	0.1248481431
218	0.1240511413
219	0.1234536429
220	0.1230796229
221	0.1222008278
222	0.1217321526
223	0.1211161426
224	0.1208374188
225	0.120445371
226	0.1196847269
227	0.1191921684
228	0.1186278831
229	0.1180863296
230	0.1172784031
231	0.1165873195
232	0.1157121366
233	0.1150664376
234	0.1143608604
235	0.1138562139
236	0.1135256947
237	0.112987368
238	0.1124903674
239	0.1116374327
240	0.11129697
241	0.1107387488
242	0.1100969478
243	0.1092084454
244	0.10873293
245	0.1083314524
246	0.1080144613
247	0.10724785
248	0.1068221434
249	0.1060259222
250	0.1057207781
251	0.1051148112
252	0.1045747255
253	0.1040948514
254	0.1037897478
255	0.1034796346
256	0.1031009442
257	0.1028232914
258	0.1022258067
259	0.1018224398
260	0.1016402263
261	0.1011859173
262	0.1006692737
263	0.1002301913
264	0.09986694476
265	0.09934051065
266	0.09881650286
267	0.09838273851
268	0.09808198205
269	0.09760249952
270	0.0973408953
271	0.09691076437
272	0.09664139874
273	0.09628643607
274	0.09592790456
275	0.09558254713
276	0.09532901429
277	0.09495266555
278	0.09437372989
279	0.09403209615
280	0.09369681691
281	0.09332211188
282	0.09295880754
283	0.09254298881
284	0.09209800593
285	0.09170008304
286	0.09133883029
287	0.09102807473
288	0.09051237899
289	0.08997824183
290	0.0896477826
291	0.08924354163
292	0.08890921991
293	0.08868191375
294	0.088229841
295	0.0878438906
296	0.08730234038
297	0.08694132584
298	0.08651716189
299	0.08625970886
299	0.0823062159
3391
